Item_Identifier,Item_Type,Item_Fat_Content,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_City,Item_Outlet_Sales
FDH14,Canned,Regular,17.1,0.078347922,141.8838,OUT010,1998,,Tier 3,Jaipur,280.9676
FDX03,Meat,Regular,15.85,0.102262138,47.1744,OUT010,1998,,Tier 3,Jaipur,90.5488
FDM08,Fruits and Vegetables,Regular,10.1,0.089688978,225.5088,OUT010,1998,,Tier 3,Jaipur,1342.2528
FDD10,Snack Foods,Regular,20.6,0.077029195,177.2344,OUT010,1998,,Tier 3,Jaipur,892.172
FDG10,Snack Foods,Regular,6.63,0.018310142,57.7588,OUT010,1998,,Tier 3,Jaipur,57.2588
FDA28,Frozen Foods,Regular,16.1,0.080010553,124.2362,OUT010,1998,,Tier 3,Jaipur,377.5086
FDL58,Snack Foods,Regular,5.78,0.124110349,262.3568,OUT010,1998,,Tier 3,Jaipur,790.9704
FDW09,Snack Foods,Regular,13.65,0.043386131,80.2302,OUT010,1998,,Tier 3,Jaipur,79.2302
FDW32,Fruits and Vegetables,Regular,18.35,0.15783357,87.5882,OUT010,1998,,Tier 3,Jaipur,171.7764
FDW26,Dairy,Regular,11.8,0.179191782,224.2772,OUT010,1998,,Tier 3,Jaipur,667.1316
FDJ03,Dairy,Regular,12.35,0.121174241,47.8692,OUT010,1998,,Tier 3,Jaipur,49.2692
FDI38,Canned,Regular,13.35,0.024482433,205.7638,OUT010,1998,,Tier 3,Jaipur,621.1914
FDI60,Baking Goods,Regular,7.22,0.064141866,61.251,OUT010,1998,,Tier 3,Jaipur,126.502
FDB49,Baking Goods,Regular,8.3,0.05046718,97.6384,OUT010,1998,,Tier 3,Jaipur,197.0768
FDU57,Snack Foods,Regular,8.27,0.149895348,152.0708,OUT010,1998,,Tier 3,Jaipur,451.4124
FDQ08,Fruits and Vegetables,Regular,15.7,0.031685529,63.1536,OUT010,1998,,Tier 3,Jaipur,122.5072
FDO08,Fruits and Vegetables,Regular,11.1,0.090008963,164.0526,OUT010,1998,,Tier 3,Jaipur,164.4526
DRA59,Soft Drinks,Regular,8.27,0.214125129,183.9924,OUT010,1998,,Tier 3,Jaipur,185.0924
FDI16,Frozen Foods,Regular,14.0,0.227260689,54.364,OUT010,1998,,Tier 3,Jaipur,159.792
FDR20,Fruits and Vegetables,Regular,20.0,0.0,46.4744,OUT010,1998,,Tier 3,Jaipur,45.2744
FDM39,Dairy,Low Fat,6.42,0.089498926,178.1002,OUT010,1998,,Tier 3,Jaipur,358.2004
FDC46,Snack Foods,Low Fat,17.7,0.195068226,185.4266,OUT010,1998,,Tier 3,Jaipur,184.4266
FDR47,Breads,Low Fat,17.85,0.0,196.5794,OUT010,1998,,Tier 3,Jaipur,585.2382
FDX26,Dairy,Low Fat,17.7,0.146973462,184.1292,OUT010,1998,,Tier 3,Jaipur,547.2876
FDL52,Frozen Foods,Regular,6.635,0.077145553,39.8506,OUT010,1998,,Tier 3,Jaipur,75.9012
FDL14,Canned,Regular,8.115,0.05382735,155.2972,OUT010,1998,,Tier 3,Jaipur,311.5944
NCJ18,Household,Low Fat,12.35,0.274405193,117.1124,OUT010,1998,,Tier 3,Jaipur,355.5372
FDM12,Baking Goods,Regular,16.7,0.117026714,189.2214,OUT010,1998,,Tier 3,Jaipur,188.4214
FDT39,Meat,Regular,6.26,0.016516867,151.1366,OUT010,1998,,Tier 3,Jaipur,453.4098
FDA50,Dairy,Low Fat,16.25,0.145913308,95.441,OUT010,1998,,Tier 3,Jaipur,193.082
DRL60,Soft Drinks,Low Fat,8.52,0.045291822,153.5682,OUT010,1998,,Tier 3,Jaipur,457.4046
FDF58,Snack Foods,Low Fat,13.3,0.0,62.151,OUT010,1998,,Tier 3,Jaipur,63.251
NCE06,Household,Low Fat,5.825,0.153127523,162.4894,OUT010,1998,,Tier 3,Jaipur,323.5788
NCX53,Health and Hygiene,Low Fat,20.1,0.025002878,140.4154,OUT010,1998,,Tier 3,Jaipur,567.2616
FDT34,Snack Foods,Low Fat,9.3,0.291826616,107.1964,OUT010,1998,,Tier 3,Jaipur,420.7856
NCN26,Household,Low Fat,10.85,0.048004263,117.5808,OUT010,1998,,Tier 3,Jaipur,351.5424
NCQ30,Household,Low Fat,7.725,0.048661041,123.7414,OUT010,1998,,Tier 3,Jaipur,121.8414
FDS21,Snack Foods,Regular,19.85,0.034942397,61.9194,OUT010,1998,,Tier 3,Jaipur,123.8388
DRD37,Soft Drinks,Low Fat,9.8,0.02316823,47.506,OUT010,1998,,Tier 3,Jaipur,186.424
FDH21,Seafood,Low Fat,10.395,0.05226427,158.4604,OUT010,1998,,Tier 3,Jaipur,158.4604
FDP19,Fruits and Vegetables,Low Fat,11.5,0.290430317,130.6652,OUT010,1998,,Tier 3,Jaipur,258.3304
NCL53,Health and Hygiene,Low Fat,7.5,0.060649825,177.4028,OUT010,1998,,Tier 3,Jaipur,354.2056
FDX58,Snack Foods,Low Fat,13.15,0.073251428,181.695,OUT010,1998,,Tier 3,Jaipur,549.285
FDF56,Fruits and Vegetables,Regular,16.7,0.199955274,182.3976,OUT010,1998,,Tier 3,Jaipur,724.3904
NCA29,Household,Low Fat,10.5,0.045655118,169.8106,OUT010,1998,,Tier 3,Jaipur,171.1106
FDX43,Fruits and Vegetables,Low Fat,5.655,0.142732848,167.95,OUT010,1998,,Tier 3,Jaipur,166.45
FDE59,Starchy Foods,Low Fat,12.15,0.104257037,34.0532,OUT010,1998,,Tier 3,Jaipur,179.766
FDZ59,Baking Goods,Regular,6.63,0.174110803,166.85,OUT010,1998,,Tier 3,Jaipur,499.35
FDQ19,Fruits and Vegetables,Regular,7.35,0.024044279,241.0512,OUT010,1998,,Tier 3,Jaipur,242.3512
NCC31,Household,Low Fat,8.02,0.033259081,154.2972,OUT010,1998,,Tier 3,Jaipur,1090.5804
FDW28,Frozen Foods,Low Fat,18.25,0.148673586,197.2452,OUT010,1998,,Tier 3,Jaipur,195.7452
FDC59,Starchy Foods,Regular,16.7,0.091437584,64.3168,OUT010,1998,,Tier 3,Jaipur,127.8336
DRK37,Soft Drinks,Low Fat,5.0,0.0,190.453,OUT010,1998,,Tier 3,Jaipur,379.506
NCC54,Health and Hygiene,Low Fat,17.75,0.163548055,239.3196,OUT010,1998,,Tier 3,Jaipur,723.0588
DRH59,Hard Drinks,Low Fat,10.8,0.097805615,73.938,OUT010,1998,,Tier 3,Jaipur,73.238
FDV38,Dairy,Low Fat,19.25,0.170348551,55.7956,OUT010,1998,,Tier 3,Jaipur,163.7868
FDW20,Fruits and Vegetables,Low Fat,20.75,0.040421193,122.173,OUT010,1998,,Tier 3,Jaipur,369.519
FDS52,Frozen Foods,Low Fat,8.89,0.009163216,101.7016,OUT010,1998,,Tier 3,Jaipur,101.2016
NCN07,Others,Low Fat,18.5,0.056816465,132.1284,OUT010,1998,,Tier 3,Jaipur,263.6568
FDI32,Fruits and Vegetables,Low Fat,17.7,0.291865402,115.1834,OUT010,1998,,Tier 3,Jaipur,345.5502
NCU05,Health and Hygiene,Low Fat,11.8,0.098312421,81.4618,OUT010,1998,,Tier 3,Jaipur,161.1236
FDX40,Frozen Foods,Low Fat,12.85,0.165694219,39.7164,OUT010,1998,,Tier 3,Jaipur,231.6984
NCZ54,Household,Low Fat,14.65,0.0,161.5552,OUT010,1998,,Tier 3,Jaipur,324.9104
FDK21,Snack Foods,Low Fat,7.905,0.016758569,250.4408,OUT010,1998,,Tier 3,Jaipur,500.6816
FDE08,Fruits and Vegetables,Low Fat,18.2,0.082551042,147.3734,OUT010,1998,,Tier 3,Jaipur,296.9468
NCK19,Others,Low Fat,9.8,0.151420934,194.3478,OUT010,1998,,Tier 3,Jaipur,387.4956
FDT57,Snack Foods,Low Fat,15.2,0.031860325,235.1248,OUT010,1998,,Tier 3,Jaipur,474.0496
NCZ42,Household,Low Fat,10.5,0.0,238.3248,OUT010,1998,,Tier 3,Jaipur,711.0744
FDR04,Frozen Foods,Low Fat,7.075,0.03777249,98.0068,OUT010,1998,,Tier 3,Jaipur,291.6204
FDV51,Meat,Low Fat,16.35,0.054463442,163.8842,OUT010,1998,,Tier 3,Jaipur,165.7842
FDC02,Canned,Low Fat,21.35,0.115194717,258.3278,OUT010,1998,,Tier 3,Jaipur,520.6556
FDN09,Snack Foods,Low Fat,14.15,0.05837308,243.9828,OUT010,1998,,Tier 3,Jaipur,731.0484
FDB15,Dairy,Low Fat,10.895,0.228993134,263.4568,OUT010,1998,,Tier 3,Jaipur,527.3136
FDQ37,Breakfast,Low Fat,20.75,0.149404057,192.8478,OUT010,1998,,Tier 3,Jaipur,774.9912
FDC15,Dairy,Low Fat,18.1,0.297883712,156.7288,OUT010,1998,,Tier 3,Jaipur,314.2576
NCD19,Household,Low Fat,8.93,0.022059594,56.0614,OUT010,1998,,Tier 3,Jaipur,276.307
NCM55,Others,Low Fat,15.6,0.111685868,184.7924,OUT010,1998,,Tier 3,Jaipur,370.1848
FDR49,Canned,Low Fat,8.71,0.233039817,49.5376,OUT010,1998,,Tier 3,Jaipur,95.8752
FDA44,Fruits and Vegetables,Low Fat,19.7,0.089083914,54.593,OUT010,1998,,Tier 3,Jaipur,56.593
FDD29,Frozen Foods,Low Fat,12.15,0.030815427,252.0698,OUT010,1998,,Tier 3,Jaipur,1014.6792
DRF03,Dairy,Low Fat,19.1,0.075836522,40.2138,OUT010,1998,,Tier 3,Jaipur,81.2276
FDY07,Fruits and Vegetables,Low Fat,11.8,0.0,46.5402,OUT010,1998,,Tier 3,Jaipur,229.701
FDU32,Fruits and Vegetables,Low Fat,8.785,0.0,123.0414,OUT010,1998,,Tier 3,Jaipur,121.8414
DRI39,Dairy,Low Fat,13.8,0.162462044,55.893,OUT010,1998,,Tier 3,Jaipur,226.372
DRN47,Hard Drinks,Low Fat,12.1,0.028164527,178.166,OUT010,1998,,Tier 3,Jaipur,539.298
FDN15,Meat,Low Fat,17.5,0.028009382,141.718,OUT010,1998,,Tier 3,Jaipur,419.454
FDS03,Meat,Low Fat,7.825,0.133281968,63.2826,OUT010,1998,,Tier 3,Jaipur,129.1652
NCV30,Household,Low Fat,20.2,0.110356797,62.051,OUT010,1998,,Tier 3,Jaipur,126.502
NCQ05,Health and Hygiene,Low Fat,11.395,0.03616416,150.1708,OUT010,1998,,Tier 3,Jaipur,300.9416
FDU40,Frozen Foods,Low Fat,20.85,0.062606583,192.2478,OUT010,1998,,Tier 3,Jaipur,387.4956
DRK12,Soft Drinks,Low Fat,9.5,0.0,32.89,OUT010,1998,,Tier 3,Jaipur,33.29
DRG51,Dairy,Low Fat,12.1,0.019314961,164.6526,OUT010,1998,,Tier 3,Jaipur,657.8104
DRM37,Soft Drinks,Low Fat,15.35,0.161350176,196.6768,OUT010,1998,,Tier 3,Jaipur,591.2304
DRF23,Hard Drinks,Low Fat,4.61,0.205294827,172.8396,OUT010,1998,,Tier 3,Jaipur,174.4396
NCN43,Others,Low Fat,12.15,0.011314423,122.973,OUT010,1998,,Tier 3,Jaipur,123.173
FDW56,Fruits and Vegetables,Low Fat,7.68,0.118672537,192.2162,OUT010,1998,,Tier 3,Jaipur,384.8324
FDO34,Snack Foods,Low Fat,17.7,0.050111641,165.9816,OUT010,1998,,Tier 3,Jaipur,167.7816
FDG31,Meat,Low Fat,12.15,0.063430788,65.4826,OUT010,1998,,Tier 3,Jaipur,258.3304
NCS54,Household,Low Fat,13.6,0.016726506,176.037,OUT010,1998,,Tier 3,Jaipur,352.874
FDM28,Frozen Foods,Low Fat,15.7,0.075661985,181.366,OUT010,1998,,Tier 3,Jaipur,179.766
NCY41,Health and Hygiene,Low Fat,16.75,0.126765903,35.7532,OUT010,1998,,Tier 3,Jaipur,143.8128
NCA54,Household,Low Fat,16.5,0.061330521,178.7318,OUT010,1998,,Tier 3,Jaipur,360.8636
NCF18,Household,Low Fat,18.35,0.148938624,191.9504,OUT010,1998,,Tier 3,Jaipur,767.0016
NCX41,Health and Hygiene,Low Fat,19.0,0.0,211.0244,OUT010,1998,,Tier 3,Jaipur,1482.0708
FDB34,Snack Foods,Low Fat,15.25,0.044539371,85.3198,OUT010,1998,,Tier 3,Jaipur,261.6594
NCK06,Household,Low Fat,5.03,0.014472516,122.0756,OUT010,1998,,Tier 3,Jaipur,121.1756
NCZ30,Household,Low Fat,6.59,0.043828293,121.4098,OUT010,1998,,Tier 3,Jaipur,241.0196
DRM23,Hard Drinks,Low Fat,16.6,0.227189581,173.9422,OUT010,1998,,Tier 3,Jaipur,172.4422
FDT58,Snack Foods,Low Fat,9.0,0.143870574,169.4816,OUT010,1998,,Tier 3,Jaipur,503.3448
NCI31,Others,Low Fat,20.0,0.136124989,38.319,OUT010,1998,,Tier 3,Jaipur,146.476
FDM32,Fruits and Vegetables,Low Fat,20.5,0.0,90.883,OUT010,1998,,Tier 3,Jaipur,89.883
NCW42,Household,Low Fat,18.2,0.097865088,221.8456,OUT010,1998,,Tier 3,Jaipur,884.1824
FDD16,Frozen Foods,Low Fat,20.5,0.060847634,75.0696,OUT010,1998,,Tier 3,Jaipur,149.1392
NCG18,Household,Low Fat,15.3,0.038460297,104.0332,OUT010,1998,,Tier 3,Jaipur,205.0664
FDK02,Canned,Low Fat,12.5,0.187841082,119.244,OUT010,1998,,Tier 3,Jaipur,119.844
NCJ17,Health and Hygiene,Low Fat,7.68,0.255348289,84.4224,OUT010,1998,,Tier 3,Jaipur,170.4448
FDD57,Fruits and Vegetables,Low Fat,18.1,0.037492325,95.5094,OUT010,1998,,Tier 3,Jaipur,95.2094
FDK52,Frozen Foods,Low Fat,18.25,0.132596101,226.2062,OUT010,1998,,Tier 3,Jaipur,677.1186
NCK18,Household,Low Fat,9.6,0.011211251,166.9184,OUT010,1998,,Tier 3,Jaipur,660.4736
FDP11,Breads,Low Fat,15.85,0.11566015,218.3166,OUT010,1998,,Tier 3,Jaipur,435.4332
NCG43,Household,Low Fat,20.2,0.124261614,93.6462,OUT010,1998,,Tier 3,Jaipur,277.6386
FDD46,Snack Foods,Low Fat,6.035,0.236433601,155.5998,OUT010,1998,,Tier 3,Jaipur,153.7998
FDR43,Fruits and Vegetables,Low Fat,18.2,0.270300331,38.319,OUT010,1998,,Tier 3,Jaipur,109.857
FDO57,Snack Foods,Low Fat,20.75,0.181958524,161.0578,OUT010,1998,,Tier 3,Jaipur,481.3734
FDF16,Frozen Foods,Low Fat,7.3,0.144167934,146.3076,OUT010,1998,,Tier 3,Jaipur,886.8456
FDZ45,Snack Foods,Low Fat,14.1,0.111936685,198.8084,OUT010,1998,,Tier 3,Jaipur,992.042
FDE34,Snack Foods,Low Fat,9.195,0.180588082,182.2634,OUT010,1998,,Tier 3,Jaipur,363.5268
NCH30,Household,Low Fat,17.1,0.112402118,112.986,OUT010,1998,,Tier 3,Jaipur,113.186
NCM29,Health and Hygiene,Low Fat,11.5,0.029529474,132.6626,OUT010,1998,,Tier 3,Jaipur,262.3252
NCU54,Household,Low Fat,8.88,0.165073642,207.727,OUT010,1998,,Tier 3,Jaipur,209.727
FDB27,Dairy,Low Fat,7.575,0.092711708,197.7768,OUT010,1998,,Tier 3,Jaipur,197.0768
DRJ13,Soft Drinks,Low Fat,12.65,0.105265475,159.9578,OUT010,1998,,Tier 3,Jaipur,962.7468
FDE53,Frozen Foods,Low Fat,10.895,0.044991876,107.228,OUT010,1998,,Tier 3,Jaipur,426.112
DRJ11,Hard Drinks,Low Fat,9.5,0.142425145,189.9872,OUT010,1998,,Tier 3,Jaipur,756.3488
NCB06,Health and Hygiene,Low Fat,17.6,0.137807013,161.792,OUT010,1998,,Tier 3,Jaipur,159.792
NCY18,Household,Low Fat,7.285,0.052141447,174.9054,OUT010,1998,,Tier 3,Jaipur,525.3162
DRE49,Soft Drinks,Low Fat,20.75,0.035568147,151.8024,OUT010,1998,,Tier 3,Jaipur,151.8024
NCP41,Health and Hygiene,Low Fat,16.6,0.027133398,106.2596,OUT010,1998,,Tier 3,Jaipur,215.7192
FDS37,Canned,Low Fat,7.655,0.05346916,114.1492,OUT010,1998,,Tier 3,Jaipur,115.8492
FDH35,Starchy Foods,Low Fat,18.25,0.10084386,166.3526,OUT010,1998,,Tier 3,Jaipur,164.4526
FDH10,Snack Foods,Low Fat,21.0,0.082526478,191.8478,OUT010,1998,,Tier 3,Jaipur,774.9912
FDE26,Canned,Low Fat,9.3,0.14897741,143.0786,OUT010,1998,,Tier 3,Jaipur,288.9572
NCB07,Household,Low Fat,19.2,0.129731747,196.211,OUT010,1998,,Tier 3,Jaipur,589.233
NCV41,Health and Hygiene,Low Fat,14.35,0.028519419,109.2228,OUT010,1998,,Tier 3,Jaipur,221.0456
DRJ23,Hard Drinks,Low Fat,18.35,0.069745165,190.2872,OUT010,1998,,Tier 3,Jaipur,378.1744
FDZ10,Snack Foods,Low Fat,17.85,0.074422769,128.002,OUT010,1998,,Tier 3,Jaipur,253.004
FDM13,Breakfast,Low Fat,6.425,0.105742544,130.5626,OUT010,1998,,Tier 3,Jaipur,131.1626
NCQ54,Household,Low Fat,17.7,0.020993364,166.8474,OUT010,1998,,Tier 3,Jaipur,168.4474
FDY32,Fruits and Vegetables,Low Fat,7.605,0.216323008,165.021,OUT010,1998,,Tier 3,Jaipur,815.605
DRL35,Hard Drinks,Low Fat,15.7,0.0,43.377,OUT010,1998,,Tier 3,Jaipur,129.831
FDB22,Snack Foods,Low Fat,8.02,0.186528819,151.9998,OUT010,1998,,Tier 3,Jaipur,307.5996
NCP55,Others,Low Fat,14.65,0.0,56.4614,OUT010,1998,,Tier 3,Jaipur,55.2614
DRE27,Dairy,Low Fat,11.85,0.222063351,99.6726,OUT010,1998,,Tier 3,Jaipur,195.7452
DRH03,Dairy,Low Fat,17.25,0.05869048,91.612,OUT010,1998,,Tier 3,Jaipur,93.212
NCI54,Household,Low Fat,15.2,0.056237906,110.7912,OUT010,1998,,Tier 3,Jaipur,109.1912
FDR23,Breads,Low Fat,15.85,0.13689554,176.437,OUT010,1998,,Tier 3,Jaipur,529.311
FDL46,Snack Foods,Low Fat,20.35,0.090480214,119.5466,OUT010,1998,,Tier 3,Jaipur,117.8466
FDQ14,Dairy,Low Fat,9.27,0.103419257,148.105,OUT010,1998,,Tier 3,Jaipur,149.805
DRC25,Soft Drinks,Low Fat,5.73,0.075943184,85.5882,OUT010,1998,,Tier 3,Jaipur,171.7764
FDD17,Frozen Foods,Low Fat,7.5,0.054610829,237.1906,OUT010,1998,,Tier 3,Jaipur,237.6906
DRO47,Hard Drinks,Low Fat,10.195,0.187841082,112.486,OUT010,1998,,Tier 3,Jaipur,113.186
FDU48,Baking Goods,Low Fat,18.85,0.0926587,131.4284,OUT010,1998,,Tier 3,Jaipur,263.6568
NCE31,Household,Low Fat,7.67,0.309390255,33.2216,OUT010,1998,,Tier 3,Jaipur,138.4864
FDZ20,Fruits and Vegetables,Low Fat,16.1,0.057422821,253.7356,OUT010,1998,,Tier 3,Jaipur,508.6712
FDU38,Dairy,Low Fat,10.8,0.138171603,191.4504,OUT010,1998,,Tier 3,Jaipur,575.2512
NCR30,Household,Low Fat,20.6,0.118827682,75.0696,OUT010,1998,,Tier 3,Jaipur,149.1392
FDO25,Canned,Low Fat,6.3,0.21332355,208.527,OUT010,1998,,Tier 3,Jaipur,419.454
FDE24,Baking Goods,Low Fat,14.85,0.15643727,142.0812,OUT010,1998,,Tier 3,Jaipur,284.9624
FDD36,Baking Goods,Low Fat,13.3,0.035607579,119.9124,OUT010,1998,,Tier 3,Jaipur,118.5124
FDR26,Dairy,Low Fat,20.7,0.071699984,177.6028,OUT010,1998,,Tier 3,Jaipur,531.3084
FDZ12,Baking Goods,Low Fat,9.17,0.172365428,144.847,OUT010,1998,,Tier 3,Jaipur,572.588
FDN12,Baking Goods,Low Fat,15.6,0.13575135,111.5544,OUT010,1998,,Tier 3,Jaipur,223.7088
FDW10,Snack Foods,Low Fat,21.2,0.118297605,175.037,OUT010,1998,,Tier 3,Jaipur,529.311
FDX21,Snack Foods,Low Fat,7.05,0.1422157,108.7912,OUT010,1998,,Tier 3,Jaipur,109.1912
NCN53,Health and Hygiene,Low Fat,5.175,0.050808821,33.6874,OUT010,1998,,Tier 3,Jaipur,70.5748
FDL45,Snack Foods,Low Fat,15.6,0.063081713,125.7704,OUT010,1998,,Tier 3,Jaipur,250.3408
FDA49,Canned,Low Fat,19.7,0.108665723,86.4198,OUT010,1998,,Tier 3,Jaipur,87.2198
FDU35,Breads,Low Fat,6.44,0.132590283,98.17,OUT010,1998,,Tier 3,Jaipur,199.74
FDV59,Breads,Low Fat,13.35,0.080387424,219.2166,OUT010,1998,,Tier 3,Jaipur,1524.0162
DRI37,Soft Drinks,Low Fat,15.85,0.180096791,57.3904,OUT010,1998,,Tier 3,Jaipur,117.1808
NCH06,Household,Low Fat,12.3,0.128136346,248.346,OUT010,1998,,Tier 3,Jaipur,985.384
FDC35,Starchy Foods,Low Fat,7.435,0.205605116,207.7638,OUT010,1998,,Tier 3,Jaipur,621.1914
FDI22,Snack Foods,Low Fat,12.6,0.161039887,210.2612,OUT010,1998,,Tier 3,Jaipur,418.1224
FDC50,Canned,Low Fat,15.85,0.228469522,93.3094,OUT010,1998,,Tier 3,Jaipur,285.6282
NCO06,Household,Low Fat,19.25,0.180820798,35.9558,OUT010,1998,,Tier 3,Jaipur,67.9116
FDV09,Snack Foods,Low Fat,12.1,0.034427577,146.6734,OUT010,1998,,Tier 3,Jaipur,296.9468
NCR53,Health and Hygiene,Low Fat,12.15,0.242768664,226.5404,OUT010,1998,,Tier 3,Jaipur,225.0404
NCJ43,Household,Low Fat,6.635,0.045308629,173.1396,OUT010,1998,,Tier 3,Jaipur,348.8792
FDU23,Breads,Low Fat,12.15,0.036360676,166.0184,OUT010,1998,,Tier 3,Jaipur,330.2368
NCQ41,Health and Hygiene,Low Fat,14.8,0.032606181,193.5794,OUT010,1998,,Tier 3,Jaipur,390.1588
FDT46,Snack Foods,Low Fat,11.35,0.051564827,49.0008,OUT010,1998,,Tier 3,Jaipur,101.2016
NCH42,Household,Low Fat,6.86,0.061155983,228.401,OUT010,1998,,Tier 3,Jaipur,229.701
FDW24,Baking Goods,Low Fat,6.8,0.062762374,50.4034,OUT010,1998,,Tier 3,Jaipur,48.6034
FDT04,Frozen Foods,Low Fat,17.25,0.0,37.5822,OUT010,1998,,Tier 3,Jaipur,196.411
FDA39,Meat,Low Fat,6.32,0.021287234,38.5822,OUT010,1998,,Tier 3,Jaipur,78.5644
FDA32,Fruits and Vegetables,Low Fat,14.0,0.050371508,214.7192,OUT010,1998,,Tier 3,Jaipur,862.8768
NCP02,Household,Low Fat,7.105,0.075000682,61.0562,OUT010,1998,,Tier 3,Jaipur,296.281
FDG50,Canned,Low Fat,7.405,0.02556185,89.7146,OUT010,1998,,Tier 3,Jaipur,182.4292
FDP16,Frozen Foods,Low Fat,18.6,0.065771529,245.7802,OUT010,1998,,Tier 3,Jaipur,245.6802
NCK05,Health and Hygiene,Low Fat,20.1,0.0,61.3536,OUT010,1998,,Tier 3,Jaipur,183.7608
FDO37,Breakfast,Low Fat,8.06,0.035780177,230.2326,OUT010,1998,,Tier 3,Jaipur,693.0978
DRJ01,Soft Drinks,Low Fat,6.135,0.192540665,160.2236,OUT010,1998,,Tier 3,Jaipur,322.2472
FDJ07,Meat,Low Fat,7.26,0.02414202,117.415,OUT010,1998,,Tier 3,Jaipur,466.06
FDX50,Dairy,Low Fat,20.1,0.124910635,109.6228,OUT010,1998,,Tier 3,Jaipur,110.5228
FDS10,Snack Foods,Low Fat,19.2,0.058893461,178.9318,OUT010,1998,,Tier 3,Jaipur,180.4318
FDO40,Frozen Foods,Low Fat,17.1,0.054612768,150.2392,OUT010,1998,,Tier 3,Jaipur,596.5568
DRG11,Hard Drinks,Low Fat,6.385,0.14032811,109.1596,OUT010,1998,,Tier 3,Jaipur,107.8596
FDT03,Meat,Low Fat,21.25,0.016735879,185.2608,OUT010,1998,,Tier 3,Jaipur,183.7608
NCO55,Others,Low Fat,12.8,0.152377658,108.1938,OUT010,1998,,Tier 3,Jaipur,428.7752
NCV42,Household,Low Fat,6.26,0.052593952,111.0228,OUT010,1998,,Tier 3,Jaipur,221.0456
FDZ44,Fruits and Vegetables,Low Fat,8.185,0.064824502,116.0808,OUT010,1998,,Tier 3,Jaipur,234.3616
FDK51,Dairy,Low Fat,19.85,0.008762556,266.6884,OUT010,1998,,Tier 3,Jaipur,264.9884
FDV24,Baking Goods,Low Fat,5.635,0.172856719,148.205,OUT010,1998,,Tier 3,Jaipur,449.415
FDL36,Baking Goods,Low Fat,15.1,0.127334766,88.283,OUT010,1998,,Tier 3,Jaipur,89.883
FDB28,Dairy,Low Fat,6.615,0.156307983,196.3426,OUT010,1998,,Tier 3,Jaipur,790.9704
FDC41,Frozen Foods,Low Fat,15.6,0.195688803,77.367,OUT010,1998,,Tier 3,Jaipur,153.134
FDR07,Fruits and Vegetables,Low Fat,21.35,0.130127365,96.2094,OUT010,1998,,Tier 3,Jaipur,190.4188
FDS40,Frozen Foods,Low Fat,15.35,0.02346559,35.219,OUT010,1998,,Tier 3,Jaipur,36.619
NCZ17,Health and Hygiene,Low Fat,12.15,0.132952286,37.6506,OUT010,1998,,Tier 3,Jaipur,37.9506
FDK46,Snack Foods,Low Fat,9.6,0.086145867,258.362,OUT010,1998,,Tier 3,Jaipur,259.662
DRI01,Soft Drinks,Low Fat,7.97,0.057667173,172.1422,OUT010,1998,,Tier 3,Jaipur,517.3266
FDY21,Snack Foods,Low Fat,15.1,0.0,197.211,OUT010,1998,,Tier 3,Jaipur,196.411
NCX05,Health and Hygiene,Low Fat,15.2,0.162462044,117.6492,OUT010,1998,,Tier 3,Jaipur,347.5476
FDK40,Frozen Foods,Low Fat,7.035,0.0,263.291,OUT010,1998,,Tier 3,Jaipur,525.982
NCJ30,Household,Low Fat,5.82,0.134975628,170.579,OUT010,1998,,Tier 3,Jaipur,509.337
NCN29,Health and Hygiene,Low Fat,15.2,0.020280476,49.1034,OUT010,1998,,Tier 3,Jaipur,194.4136
NCD31,Household,Low Fat,12.1,0.025834128,165.1526,OUT010,1998,,Tier 3,Jaipur,164.4526
FDR09,Snack Foods,Low Fat,18.25,0.130095044,257.2962,OUT010,1998,,Tier 3,Jaipur,517.9924
NCD43,Household,Low Fat,8.85,0.026814124,103.7964,OUT010,1998,,Tier 3,Jaipur,210.3928
FDE16,Frozen Foods,Low Fat,8.895,0.044093978,208.3954,OUT010,1998,,Tier 3,Jaipur,1041.977
FDW47,Breads,Low Fat,15.0,0.077622622,121.8414,OUT010,1998,,Tier 3,Jaipur,243.6828
FDR46,Snack Foods,Low Fat,16.85,0.233356571,146.576,OUT010,1998,,Tier 3,Jaipur,439.428
NCO41,Health and Hygiene,Low Fat,12.5,0.031549131,99.0384,OUT010,1998,,Tier 3,Jaipur,197.0768
NCH55,Household,Low Fat,16.35,0.058034349,124.802,OUT010,1998,,Tier 3,Jaipur,253.004
FDA43,Fruits and Vegetables,Low Fat,10.895,0.108253944,194.8794,OUT010,1998,,Tier 3,Jaipur,585.2382
DRG49,Soft Drinks,Low Fat,7.81,0.112906337,243.5486,OUT010,1998,,Tier 3,Jaipur,488.6972
FDA15,Dairy,Low Fat,9.3,0.026818196,248.9092,OUT010,1998,,Tier 3,Jaipur,498.0184
FDB32,Fruits and Vegetables,Low Fat,20.6,0.039255412,94.4778,OUT010,1998,,Tier 3,Jaipur,93.8778
FDK28,Frozen Foods,Low Fat,5.695,0.109784056,256.0646,OUT010,1998,,Tier 3,Jaipur,1288.323
NCZ53,Health and Hygiene,Low Fat,9.6,0.040969757,188.7214,OUT010,1998,,Tier 3,Jaipur,376.8428
